id,title,vertical,format,language,region,publish_dt,channel,campaign_id,owner_team
550e8400-e29b-41d4-a716-446655440001,"10 Ways to Boost Your SaaS Conversion Rate","B2B SaaS","blog","en","global","2024-01-15 09:00:00+00","Blog",,Marketing
550e8400-e29b-41d4-a716-446655440002,"The Future of E-commerce in 2024","E-commerce","video","en","global","2024-01-20 14:30:00+00","YouTube",,Growth
550e8400-e29b-41d4-a716-446655440003,"Healthcare Digital Transformation Guide","Healthcare","blog","en","global","2024-01-25 11:00:00+00","Blog",,Health
550e8400-e29b-41d4-a716-446655440004,"TikTok Marketing Strategies That Convert","Marketing","video","en","global","2024-01-30 16:00:00+00","TikTok",,Growth
550e8400-e29b-41d4-a716-446655440005,"Email Automation Best Practices","Marketing","email","en","global","2024-02-01 10:00:00+00","Email",,Marketing
550e8400-e29b-41d4-a716-446655440006,"LinkedIn B2B Lead Generation","B2B SaaS","social","en","global","2024-02-05 13:00:00+00","LinkedIn",,Sales
550e8400-e29b-41d4-a716-446655440007,"Financial Planning for Startups","Finance","blog","en","global","2024-02-10 15:00:00+00","Blog",,Finance
550e8400-e29b-41d4-a716-446655440008,"Product Demo: AI-Powered Analytics","Technology","video","en","global","2024-02-15 12:00:00+00","YouTube",,Product
550e8400-e29b-41d4-a716-446655440009,"Instagram Stories for Business","Marketing","social","en","global","2024-02-20 17:00:00+00","Instagram",,Growth
550e8400-e29b-41d4-a716-446655440010,"Customer Success Case Study","B2B SaaS","blog","en","global","2024-02-25 14:00:00+00","Blog",,Customer Success
550e8400-e29b-41d4-a716-446655440011,"Paid Social Campaign Results","Marketing","ad","en","global","2024-03-01 09:00:00+00","Paid Social",,Growth
550e8400-e29b-41d4-a716-446655440012,"Educational Content Strategy","Education","video","en","global","2024-03-05 16:00:00+00","YouTube",,Learning
550e8400-e29b-41d4-a716-446655440013,"Twitter Thread: Sales Tips","Sales","social","en","global","2024-03-10 11:00:00+00","Twitter",,Sales
550e8400-e29b-41d4-a716-446655440014,"Retail Technology Trends","E-commerce","blog","en","global","2024-03-15 13:00:00+00","Blog",,Retail
550e8400-e29b-41d4-a716-446655440015,"Healthcare Marketing Compliance","Healthcare","blog","en","global","2024-03-20 15:00:00+00","Blog",,Health
550e8400-e29b-41d4-a716-446655440016,"Video Content ROI Analysis","Marketing","video","en","global","2024-03-25 10:00:00+00","YouTube",,Analytics
550e8400-e29b-41d4-a716-446655440017,"Email Newsletter Template","Marketing","email","en","global","2024-03-30 12:00:00+00","Email",,Marketing
550e8400-e29b-41d4-a716-446655440018,"LinkedIn Company Page Optimization","B2B SaaS","social","en","global","2024-04-01 14:00:00+00","LinkedIn",,Marketing
550e8400-e29b-41d4-a716-446655440019,"Financial Services Innovation","Finance","video","en","global","2024-04-05 16:00:00+00","YouTube",,Finance
550e8400-e29b-41d4-a716-446655440020,"AI in Education: Future Trends","Education","blog","en","global","2024-04-10 11:00:00+00","Blog",,Learning
550e8400-e29b-41d4-a716-446655440021,"TikTok Business Account Setup","Marketing","video","en","global","2024-04-15 13:00:00+00","TikTok",,Growth
550e8400-e29b-41d4-a716-446655440022,"Sales Pipeline Management","Sales","blog","en","global","2024-04-20 15:00:00+00","Blog",,Sales
550e8400-e29b-41d4-a716-446655440023,"E-commerce Customer Journey","E-commerce","video","en","global","2024-04-25 10:00:00+00","YouTube",,Retail
550e8400-e29b-41d4-a716-446655440024,"Healthcare Patient Engagement","Healthcare","blog","en","global","2024-04-30 12:00:00+00","Blog",,Health
550e8400-e29b-41d4-a716-446655440025,"Technology Stack Selection","Technology","blog","en","global","2024-05-01 14:00:00+00","Blog",,Product
550e8400-e29b-41d4-a716-446655440026,"Instagram Reels Strategy","Marketing","social","en","global","2024-05-05 16:00:00+00","Instagram",,Growth
550e8400-e29b-41d4-a716-446655440027,"Customer Onboarding Best Practices","B2B SaaS","video","en","global","2024-05-10 11:00:00+00","YouTube",,Customer Success
550e8400-e29b-41d4-a716-446655440028,"Paid Search Optimization","Marketing","ad","en","global","2024-05-15 13:00:00+00","Paid Social",,Growth
550e8400-e29b-41d4-a716-446655440029,"Educational Video Production","Education","video","en","global","2024-05-20 15:00:00+00","YouTube",,Learning
550e8400-e29b-41d4-a716-446655440030,"Sales Training Program","Sales","video","en","global","2024-05-25 10:00:00+00","YouTube",,Sales 
